기준년월,행정동코드,행정동명,연령별,월별 일평균 주거인구수 평균,월별 일평균 직장인구수 평균,월별 일평균 방문인구수 평균
2025-12,2623051000,부산진구 부전1동,50대,"30,430","19,730","41,063"
2025-12,2623051000,부산진구 부전1동,60대,"33,273","16,395","55,007"
2025-12,2623051000,부산진구 부전1동,기타,"31,550","9,830","55,072"
2025-12,2623052000,부산진구 부전2동,20대,"41,294","38,384","139,856"
2025-12,2623052000,부산진구 부전2동,20대미만,"8,775","2,783","44,212"
2025-12,2623052000,부산진구 부전2동,30대,"44,825","32,448","85,105"
2025-12,2623052000,부산진구 부전2동,40대,"28,898","23,022","57,738"
2025-12,2623052000,부산진구 부전2동,50대,"26,658","21,314","51,202"
2025-12,2623052000,부산진구 부전2동,60대,"24,798","12,005","40,523"
2025-12,2623052000,부산진구 부전2동,기타,"19,985","3,968","25,826"
2025-12,2623054000,부산진구 연지동,20대,"13,299","1,667","4,177"
2025-12,2623054000,부산진구 연지동,20대미만,"14,880",915,"3,979"
2025-12,2623054000,부산진구 연지동,30대,"19,334","2,066","5,611"
2025-12,2623054000,부산진구 연지동,40대,"26,741","3,508","5,636"
2025-12,2623054000,부산진구 연지동,50대,"31,536","3,468","7,267"
2025-12,2623054000,부산진구 연지동,60대,"35,902","2,496","8,346"
2025-12,2623054000,부산진구 연지동,기타,"52,986",995,"6,214"
2025-12,2623055000,부산진구 초읍동,20대,"27,756","4,375","9,275"
2025-12,2623055000,부산진구 초읍동,20대미만,"41,772","2,688","7,124"
2025-12,2623055000,부산진구 초읍동,30대,"39,524","5,277","13,273"
2025-12,2623055000,부산진구 초읍동,40대,"48,586","6,998","14,888"
2025-12,2623055000,부산진구 초읍동,50대,"61,814","9,350","17,633"
2025-12,2623055000,부산진구 초읍동,60대,"75,231","6,277","20,048"
2025-12,2623055000,부산진구 초읍동,기타,"107,782","1,840","14,134"
2025-12,2623056000,부산진구 양정1동,20대,"34,686","12,407","18,409"
2025-12,2623056000,부산진구 양정1동,20대미만,"27,778","6,201","8,769"
2025-12,2623056000,부산진구 양정1동,30대,"40,928","9,351","19,615"
2025-12,2623056000,부산진구 양정1동,40대,"37,288","9,107","17,477"
2025-12,2623056000,부산진구 양정1동,50대,"54,789","10,747","21,712"
2025-12,2623056000,부산진구 양정1동,60대,"58,218","7,864","21,586"
2025-12,2623056000,부산진구 양정1동,기타,"69,999","2,962","16,657"
2025-12,2623057000,부산진구 양정2동,20대,"48,707","6,408","13,124"
2025-12,2623057000,부산진구 양정2동,20대미만,"18,690","6,169","5,603"
2025-12,2623057000,부산진구 양정2동,30대,"63,158","8,288","13,145"
2025-12,2623057000,부산진구 양정2동,40대,"41,721","7,179","10,704"
2025-12,2623057000,부산진구 양정2동,50대,"34,990","7,563","15,511"
2025-12,2623057000,부산진구 양정2동,60대,"29,981","4,645","16,298"
2025-12,2623057000,부산진구 양정2동,기타,"34,256","1,537","11,877"
2025-12,2623060000,부산진구 전포1동,20대,"65,056","18,794","65,380"
2025-12,2623060000,부산진구 전포1동,20대미만,"16,658","7,088","20,052"
2025-12,2623060000,부산진구 전포1동,30대,"64,367","15,364","39,094"
2025-12,2623060000,부산진구 전포1동,40대,"36,093","8,881","21,533"
2025-12,2623060000,부산진구 전포1동,50대,"39,580","9,520","19,334"
2025-12,2623060000,부산진구 전포1동,60대,"35,824","6,746","14,837"
2025-12,2623060000,부산진구 전포1동,기타,"30,484","1,491","9,689"
2025-12,2623061000,부산진구 전포2동,20대,"50,109","10,154","42,470"
2025-12,2623061000,부산진구 전포2동,20대미만,"21,753","1,886","15,153"
2025-12,2623061000,부산진구 전포2동,30대,"59,126","10,688","30,097"
2025-12,2623061000,부산진구 전포2동,40대,"50,875","8,262","16,728"
2025-12,2623061000,부산진구 전포2동,50대,"53,882","9,377","17,232"
2025-12,2623061000,부산진구 전포2동,60대,"64,169","7,010","16,646"
2025-12,2623061000,부산진구 전포2동,기타,"66,265","2,129","14,203"
2025-12,2623064000,부산진구 부암1동,20대,"33,584","3,642","10,955"
2025-12,2623064000,부산진구 부암1동,20대미만,"29,753",868,"5,458"
2025-12,2623064000,부산진구 부암1동,30대,"58,659","6,319","14,701"
2025-12,2623064000,부산진구 부암1동,40대,"56,558","6,899","12,332"
2025-12,2623064000,부산진구 부암1동,50대,"54,114","8,314","15,166"
2025-12,2623064000,부산진구 부암1동,60대,"58,802","6,252","17,239"
2025-12,2623064000,부산진구 부암1동,기타,"62,131","1,010","10,895"
2025-12,2623066000,부산진구 부암3동,20대,"29,380","3,123","8,707"
2025-12,2623066000,부산진구 부암3동,20대미만,"46,148","3,101","7,684"
2025-12,2623066000,부산진구 부암3동,30대,"53,462","3,927","10,643"
2025-12,2623066000,부산진구 부암3동,40대,"58,886","5,857","11,581"
2025-12,2623066000,부산진구 부암3동,50대,"69,372","6,930","14,486"
2025-12,2623066000,부산진구 부암3동,60대,"72,386","5,840","19,651"
